timestamp,open,high,low,close,volume_btc,volume_usd
2024-01-01 00:00:00,42000.0,42034.96,41983.5,42033.46,57.3563,2410882.33
2024-01-01 00:01:00,42033.46,42130.82,41979.93,42090.22,23.5608,991680.43
2024-01-01 00:02:00,42090.22,42092.0,42058.36,42071.48,127.3281,5356881.68
2024-01-01 00:03:00,42071.48,42083.41,41918.85,41957.85,137.1455,5754329.15
2024-01-01 00:04:00,41957.85,41993.2,41842.19,41890.75,3.6117,151296.51
2024-01-01 00:05:00,41890.75,42006.04,41870.34,41964.15,40.5589,1702020.34
2024-01-01 00:06:00,41964.15,42094.07,41958.58,42073.88,25.9857,1093317.57
2024-01-01 00:07:00,42073.88,42193.5,42025.45,42157.28,182.9735,7713663.91
2024-01-01 00:08:00,42157.28,42224.36,42134.57,42165.97,138.9061,5857109.77
2024-01-01 00:09:00,42165.97,42282.14,42114.27,42245.03,145.1833,6133274.13
2024-01-01 00:10:00,42245.03,42296.88,42231.36,42294.13,73.7682,3119962.23
2024-01-01 00:11:00,42294.13,42308.09,42187.22,42193.28,70.9375,2993083.61
2024-01-01 00:12:00,42193.28,42247.73,42171.07,42225.84,53.9577,2278411.1
2024-01-01 00:13:00,42225.84,42282.04,42131.03,42169.92,153.0645,6454716.61
2024-01-01 00:14:00,42169.92,42213.66,42081.18,42090.99,96.1049,4045152.37
2024-01-01 00:15:00,42090.99,42246.87,42057.57,42208.47,171.7843,7250754.7
2024-01-01 00:16:00,42208.47,42337.32,42194.73,42290.76,9.9609,421252.35
2024-01-01 00:17:00,42290.76,42306.82,42233.81,42246.47,235.8416,9963474.93
2024-01-01 00:18:00,42246.47,42355.68,42207.14,42336.8,100.1167,4238620.79
2024-01-01 00:19:00,42336.8,42463.82,42320.9,42436.29,63.1636,2680429.61
2024-01-01 00:20:00,42436.29,42466.78,42401.21,42451.02,224.6601,9537048.39
2024-01-01 00:21:00,42451.02,42464.17,42367.02,42426.87,128.3625,5446020.22
2024-01-01 00:22:00,42426.87,42429.7,42322.11,42328.69,157.6066,6671281.71
2024-01-01 00:23:00,42328.69,42424.12,42324.88,42398.79,96.6416,4097486.11
2024-01-01 00:24:00,42398.79,42549.61,42340.52,42517.86,215.4734,9161466.05
2024-01-01 00:25:00,42517.86,42561.1,42359.71,42400.61,135.1686,5731233.38
2024-01-01 00:26:00,42400.61,42439.07,42337.96,42344.65,109.8218,4650365.13
2024-01-01 00:27:00,42344.65,42401.88,42280.99,42333.55,67.3205,2849914.8
2024-01-01 00:28:00,42333.55,42344.41,42278.79,42333.69,217.8886,9224027.83
2024-01-01 00:29:00,42333.69,42372.02,42248.77,42285.31,39.9041,1687358.99
2024-01-01 00:30:00,42285.31,42380.68,42238.6,42348.32,133.5277,5654673.62
2024-01-01 00:31:00,42348.32,42367.76,42227.28,42228.45,232.4165,9814587.37
2024-01-01 00:32:00,42228.45,42369.25,42210.0,42319.35,16.3654,692574.77
2024-01-01 00:33:00,42319.35,42466.89,42314.21,42410.07,122.5256,5196320.54
2024-01-01 00:34:00,42410.07,42455.7,42260.73,42306.68,33.8411,1431703.85
2024-01-01 00:35:00,42306.68,42339.67,42284.84,42300.75,218.3634,9236934.71
2024-01-01 00:36:00,42300.75,42313.45,42249.94,42282.3,183.0229,7738629.42
2024-01-01 00:37:00,42282.3,42301.0,42150.87,42210.58,163.1698,6887489.55
2024-01-01 00:38:00,42210.58,42241.63,42188.46,42195.72,57.7249,2435745.41
2024-01-01 00:39:00,42195.72,42231.02,42143.05,42156.86,56.6139,2386664.79
2024-01-01 00:40:00,42156.86,42194.73,42040.16,42053.9,226.5442,9527065.43
2024-01-01 00:41:00,42053.9,42144.46,42039.62,42140.21,167.9065,7075615.01
2024-01-01 00:42:00,42140.21,42148.15,42015.5,42071.63,143.6187,6042272.07
2024-01-01 00:43:00,42071.63,42118.71,42016.62,42065.07,49.2217,2070512.51
2024-01-01 00:44:00,42065.07,42090.93,41942.92,41968.33,117.8221,4944797.88
2024-01-01 00:45:00,41968.33,42063.71,41909.28,42023.31,26.4076,1109736.14
2024-01-01 00:46:00,42023.31,42043.67,41948.24,41999.94,63.6668,2674000.58
2024-01-01 00:47:00,41999.94,42026.86,41900.28,41925.59,71.0792,2980037.26
2024-01-01 00:48:00,41925.59,41980.99,41838.96,41865.54,215.6146,9026821.62
2024-01-01 00:49:00,41865.54,41880.66,41805.59,41877.62,209.3348,8766445.38
2024-01-01 00:50:00,41877.62,42045.76,41826.7,41990.18,43.2452,1815871.92
2024-01-01 00:51:00,41990.18,42003.01,41962.67,41986.74,16.5416,694526.9
2024-01-01 00:52:00,41986.74,42045.85,41941.78,41957.69,196.4495,8242567.36
2024-01-01 00:53:00,41957.69,41983.07,41889.45,41946.89,248.8648,10439105.7
2024-01-01 00:54:00,41946.89,42003.38,41937.6,41960.28,75.5835,3171506.16
2024-01-01 00:55:00,41960.28,42107.52,41927.74,42072.77,187.4979,7888556.79
2024-01-01 00:56:00,42072.77,42107.82,41936.31,41966.49,213.4745,8958775.8
2024-01-01 00:57:00,41966.49,42024.13,41879.46,41884.27,48.0846,2013987.91
2024-01-01 00:58:00,41884.27,41947.59,41870.16,41907.08,31.7319,1329790.36
2024-01-01 00:59:00,41907.08,42015.52,41871.41,42000.75,155.6066,6535593.93
2024-01-01 01:00:00,42000.75,42035.77,41949.99,41981.36,233.8072,9815542.27
2024-01-01 01:01:00,41981.36,42024.33,41896.06,41910.38,100.1549,4197529.74
2024-01-01 01:02:00,41910.38,41969.59,41891.41,41951.59,188.4624,7906296.73
2024-01-01 01:03:00,41951.59,41979.09,41789.09,41849.0,249.0319,10421736.39
2024-01-01 01:04:00,41849.0,41861.79,41730.67,41746.58,233.4483,9745669.44
2024-01-01 01:05:00,41746.58,41890.74,41724.41,41837.99,41.1212,1720428.89
2024-01-01 01:06:00,41837.99,41960.3,41801.29,41918.09,246.8338,10346800.74
2024-01-01 01:07:00,41918.09,41955.51,41869.06,41955.04,76.2459,3198901.18
2024-01-01 01:08:00,41955.04,42050.59,41946.98,41994.25,30.6263,1286129.08
2024-01-01 01:09:00,41994.25,42027.45,41883.6,41899.94,151.9978,6368699.1
2024-01-01 01:10:00,41899.94,41964.39,41861.89,41952.17,67.468,2830429.35
2024-01-01 01:11:00,41952.17,42006.49,41898.65,41949.42,24.89,1044121.85
2024-01-01 01:12:00,41949.42,41966.02,41930.86,41931.08,193.2376,8102659.16
2024-01-01 01:13:00,41931.08,41979.7,41886.6,41963.98,138.8167,5825303.56
2024-01-01 01:14:00,41963.98,41964.56,41942.11,41946.63,221.0104,9270640.49
